id,creationDate,lastUpdateDate,createdBy,lastUpdatedBy,firstName,lastName,email,phoneNumber,hireDate,salary,department,departmentRelation
100,2022-06-22T00:56:19,2022-06-22T00:56:19,99376860-ora018,99376860-ora018,Steven,King,SKING,515.123.4567,1987-06-17,24000.0,90.0,
101,2022-06-22T00:56:19,2022-06-22T00:56:19,99376860-ora018,99376860-ora018,Neena,Kochhar,NKOCHHAR,515.123.4568,1989-09-21,17000.0,90.0,
196,2022-06-22T00:56:19,2022-06-22T00:56:19,99376860-ora018,99376860-ora018,Alana,Walsh,AWALSH,650.507.9811,1998-04-24,3100.0,50.0,
197,2022-06-22T00:56:19,2022-06-22T00:56:19,99376860-ora018,99376860-ora018,Kevin,Feeney,KFEENEY,650.507.9822,1998-05-23,3000.0,50.0,
198,2022-06-22T00:56:19,2022-06-22T00:56:19,99376860-ora018,99376860-ora018,Donald,OConnell,DOCONNEL,650.507.9833,1999-06-21,2600.0,50.0,
199,2022-06-22T00:56:19,2022-06-22T00:56:19,99376860-ora018,99376860-ora018,Douglas,Grant,DGRANT,650.507.9844,2000-01-13,2600.0,50.0,
200,2022-06-22T00:56:19,2022-06-22T00:56:19,99376860-ora018,99376860-ora018,Jennifer,Whalen,JWHALEN,515.123.4444,1987-09-17,4400.0,10.0,
201,2022-06-22T00:56:19,2022-06-22T00:56:19,99376860-ora018,99376860-ora018,Michael,Hartstein,MHARTSTE,515.123.5555,1996-02-17,13000.0,20.0,
202,2022-06-22T00:56:19,2022-06-22T00:56:19,99376860-ora018,99376860-ora018,Pat,Fay,PFAY,603.123.6666,1997-08-17,6000.0,20.0,
203,2022-06-22T00:56:19,2022-06-22T00:56:19,99376860-ora018,99376860-ora018,Susan,Mavris,SMAVRIS,515.123.7777,1994-06-07,6500.0,40.0,
204,2022-06-22T00:56:19,2022-06-22T00:56:19,99376860-ora018,99376860-ora018,Hermann,Baer,HBAER,515.123.8888,1994-06-07,10000.0,70.0,
205,2022-06-22T00:56:19,2022-06-22T00:56:19,99376860-ora018,99376860-ora018,Shelley,Higgins,SHIGGINS,515.123.8080,1994-06-07,12000.0,110.0,
206,2022-06-22T00:56:19,2022-06-22T00:56:19,99376860-ora018,99376860-ora018,William,Gietz,WGIETZ,515.123.8181,1994-06-07,8300.0,110.0,
